id;creationdate;score;title;tags;notes
21128478;15.01.2014 03:15;43;Run grunt build command on Travis CI;<node.js><gruntjs><travis-ci>;node version
42521884;01.03.2017 01:59;34;Should I have Travis cache node_modules or $HOME/.npm;<node.js><npm><travis-ci><yarnpkg>;nothing found
44965071;07.07.2017 07:33;29;Error: TSError: ⨯ Unable to compile TypeScript;<node.js><angular><typescript><protractor><travis-ci>;nothing found
62246824;07.06.2020 14:29;26;"Error [ERR_PACKAGE_PATH_NOT_EXPORTED]: No ""exports"" main resolved in /app/node_modules/@babel/helper-compilation-targets/package.json";<node.js><docker><travis-ci><nuxt.js>;node version
44249044;29.05.2017 19:05;10;How can I install a specific node.js version on a PHP container on Travis CI?;<php><node.js><travis-ci>;node version
12336566;09.09.2012 04:44;10;Travis-CI with jasmine-node;<node.js><travis-ci><jasmine-node>;node version
45192449;2017-07-19 13:43:07.057;9;Cross-platform install of npm package sqlite3;<node.js><npm><cross-platform><travis-ci><node-sqlite3>;nothing found
37168209;11.05.2016 16:19;8;Travis CI: Karma testing passing but always get errored build;<node.js><karma-runner><travis-ci>;node version
32319074;31.08.2015 20:04;8;Grunticon & TravisCI;<ruby-on-rails><node.js><npm><travis-ci>;nothing found
42473384;26.02.2017 19:49;8;Travis CI not using correct node.js version;<node.js><testing><travis-ci>;node version
33572756;2015-11-06 17:52:59.077;7;Travis CI cache: ignore specific folder/file from cache;<node.js><caching><travis-ci>;node version
27583347;20.12.2014 18:58;7;Travis CI. NetworkingError: CERT_UNTRUSTED error between Node.js and AWS S3 bucket;<node.js><amazon-web-services><amazon-s3><travis-ci>;nothing found
32064862;18.08.2015 06:17;7;Travis-CI Node.js Defaulting to Ruby Build? No RakeFile found;<node.js><travis-ci>;node version
36224163;25.03.2016 16:44;7;travis-ci ruby build with node 5;<ruby><node.js><travis-ci>;nothing found
60217417;13.02.2020 22:27;7;Jest tests hang due to open Sequelize connections;<node.js><postgresql><jestjs><sequelize.js><travis-ci>;nothing found
36197855;2016-03-24 10:21:33.087;6;Run node app in Travis;<node.js><travis-ci>;node version
25108072;03.08.2014 19:03;6;Send data to Coveralls only from Travis, not when testing locally;<node.js><npm><travis-ci><coveralls>;nothing found
43974531;15.05.2017 08:20;6;Why does Chrome 59-Beta with real Headless option fail in use with Protractor?;<node.js><angular><google-chrome><protractor><travis-ci>;nothing found
20127174;21.11.2013 16:55;6;How can I update node.js and install grunt/bower in a python project in Travis CI?;<node.js><npm><gruntjs><bower><travis-ci>;nothing found
