"id","creationdate","score","title","tags"
50104172,2018-04-30 16:01:53,42,Could not find or load main class org.apache.maven.wrapper.MavenWrapperMain,<java><spring><maven><spring-boot><travis-ci>
55690941,2019-04-15 14:03:39,2,Travis docker build to AWS ec2 docker,<amazon-web-services><spring-boot><docker><amazon-ec2><travis-ci>
49520000,2018-03-27 18:25:03,1,Google Cloud App engine after Travis building,<google-app-engine><docker><spring-boot><google-cloud-platform><travis-ci>
58968306,2019-11-21 06:08:09,1,Travis CI using the wrong version of Java,<java><spring><maven><spring-boot><travis-ci>
60502811,2020-03-03 08:17:25,1,Springboot HttpMessageNotWritableException: No converter for [...] with preset Content-Type 'null'],<java><spring-boot><travis-ci><openjdk-11>
49490727,2018-03-26 11:47:23,1,spring boot application to test with travis and deploy on Google Cloud,<google-app-engine><spring-boot><travis-ci>
51676352,2018-08-03 15:59:10,1,Error with integration in Travis-CI,<hibernate><spring-boot><travis-ci>
40799006,2016-11-25 06:32:51,1,"EntityManagerException while running in Travis CI, Spring Boot and PostgreSQL",<postgresql><hibernate><spring-mvc><spring-boot><travis-ci>
56699832,2019-06-21 08:42:05,1,Spring Boot Test Fails on Travis CLI with an exception: com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure,<java><spring><spring-boot><travis-ci>
48368872,2018-01-21 16:14:14,1,"Database in travis setted, but application cannot connect",<mysql><spring-boot><travis-ci>
61735168,2020-05-11 17:01:30,1,Spring Boot Application test build fails on Travis CI,<java><spring><mongodb><spring-boot><travis-ci>
64700670,2020-11-05 15:51:55,0,spring boot+mysql+docker+travis when building in travis getting mysql connection failre,<mysql><spring-boot><docker><docker-compose><travis-ci>
66787959,2021-03-24 19:22:24,0,Unable to determine Java version in Travis CI,<java><spring-boot><kotlin><travis-ci>
67062747,2021-04-12 17:12:30,0,Travis CI - Spring Boot application on ARM64 architecure,<java><spring-boot><docker><maven><travis-ci>
41208804,2016-12-18 13:30:07,0,Setting the path of Travis database for run the tests,<java><maven><heroku><spring-boot><travis-ci>
61039278,2020-04-05 07:19:12,0,Reduce Travis-CI building time for Gradle,<spring-boot><gradle><kotlin><travis-ci>
51642370,2018-08-01 21:16:21,0,ibmcloud health check is never passed,<java><spring-boot><gradle><travis-ci><cloud-foundry>
56766174,2019-06-26 06:03:13,0,Travis Cli Build fails with message `Failed to execute goal`,<java><maven><spring-boot><travis-ci>
58393867,2019-10-15 11:42:11,0,Travis CI Spring Boot Error (Gradle Error),<java><spring><spring-boot><gradle><travis-ci>
60506070,2020-03-03 11:18:24,0,Java Spring boot and Travis CI,<java><spring-boot><maven><travis-ci>
48884054,2018-02-20 11:16:27,0,Establishing database connection for testing between Spring and Travis,<spring-boot><travis-ci>
61397188,2020-04-23 21:20:57,0,Use Travis CI to build CI/CD pipeline,<angular><spring-boot><continuous-integration><travis-ci><continuous-deployment>
61601720,2020-05-04 21:13:51,0,"Travis failing all builds ""bad interpreter: No such file or directory""",<java><spring-boot><maven><testing><travis-ci>
62129519,2020-06-01 09:44:34,0,Travis CI - Test fail on Travis (401 and 400) but works locally Java Spring Boot,<java><spring><spring-boot><travis-ci>
63413934,2020-08-14 13:41:52,0,"Error in Travis: The job exceeded the maximum log length, and has been terminated",<java><spring-boot><maven><testing><travis-ci>
63416551,2020-08-14 16:24:07,0,The goal you specified requires a project to execute but there is no POM in this directory with travis build,<java><spring><spring-boot><maven><travis-ci>
